"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_HYPOXIA",0.00190542407897015,0.0895549317115968,0.45505986738723,0.509810613187978,1.24328393682734,64,"NR3C1;CXCR4;BCL2;SAP30;SLC2A1;PRKCA;NEDD4L;MXI1;HK1;GAPDH;ENO1;CCNG2;PIM1;KLF6;WSB1;SLC6A6;PGM1;PAM;MYH9;GRHPR;CITED2;BTG1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00591176163697776,0.0926175989793183,0.407017918923954,0.520766082174608,1.25086312112871,51,"MYB;BCL2;SLC2A1;MYBL1;KLF10;FOXC1;AMFR;SLC37A1;SLC1A4;CHPT1;TOB1;MED13L;IGF1R;CELSR2;CBFA2T3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00576304005991317,0.0926175989793183,0.407017918923954,0.484061692579509,1.18854484105083,74,"NFKB1;SQSTM1;TNFAIP8;KLF10;DUSP4;BIRC2;SNN;ICOSLG;TNIP1;KLF6;EGR1;DUSP2;BTG2;TUBB2A;SPSB1;RNF19B;BTG1;BCL3;YRDC;TGIF1;SLC16A6;RIPK2;RELA;REL;RCAN1;PANX1;NFKB2;NFE2L2;NFAT5"
"HALLMARK_MYC_TARGETS_V2",0.0250827208538902,0.29472197003321,0.352487857583619,0.564575691733506,1.27982847836429,24,"WDR74;HSPD1;DUSP2;PUS1;PLK1;MCM4;TBRG4;SRM;RRP9;PRMT3;PPRC1;PLK4;PA2G4;NOP2;NOP16;NOC4L;NIP7;NDUFAF4;MPHOSPH10"
"HALLMARK_NOTCH_SIGNALING",0.0729270729270729,0.321447782986245,0.163180127180689,0.631282942492747,1.28474449707199,10,"SAP30;PRKCA"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.040959040959041,0.321447782986245,0.222056046145248,0.548131492961443,1.23757962378405,23,"WARS1;TDRD7;RIPK2;NMI;NCOA7;IRF7;IL4R"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0699300699300699,0.321447782986245,0.166933848713193,0.532766469355065,1.19956274207668,22,"HAX1;TGFB1;PIM1;ITGA4;PTPN11;PTPN1;MYD88;IL6ST;IL4R;IL12RB1;IFNGR1;IFNAR1;GRB2"
"HALLMARK_TGF_BETA_SIGNALING",0.0819180819180819,0.321447782986245,0.153158808683073,0.513703774510215,1.17039122470069,26,"KLF10;SMAD1;TGFB1;SPTBN1;UBE2D3;TRIM33;SMURF1;SLC20A1;SKIL;ID3;FNTA;TGIF1;TGFBR1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0869130869130869,0.321447782986245,0.148261500475107,0.485418129805815,1.13560088884712,35,"NFKB1;ICOSLG;KLF6;BTG2;SLC7A1;PSEN1;LYN;SLC31A2;RIPK2;RHOG;RELA;RAF1;NMI;KIF1B;IRF7;IL4R;IFNAR1;HIF1A;HBEGF;GNAI3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0549450549450549,0.321447782986245,0.190023305279108,0.46794321058559,1.12398430877037,51,"NFKB1;ARID5B;ST8SIA4;PIM1;BTG1;WARS1;TOR1B;TDRD7;SPPL2A;RIPK2;RIPK1;PTPN1;PSMB2;PSMB10;NUP93;NMI;NCOA3;MYD88;LYSMD2;IRF8;IRF7;IL4R;HIF1A"
"HALLMARK_UV_RESPONSE_DN",0.0889110889110889,0.321447782986245,0.14641623786055,0.465975937997086,1.10933930491759,45,"NR3C1;NFKB1;PRKCA;PHF3;CELF2;PRDM2;PEX14;LTBP1;TENT4A;SLC7A1;SCAF8;IGF1R;CITED2;ANXA4"
"HALLMARK_E2F_TARGETS",0.0679320679320679,0.321447782986245,0.169570644405628,0.439708827322855,1.08270966982021,80,"HMGA1;SMC1A;PAICS;EZH2;WEE1;SMC6;H2AZ1;CNOT9;CDC25A;STAG1;SMC4;RRM2;POLE4;PLK1;MYBL2;MSH2;MCM4;KIF2C;ESPL1;E2F8;DEK;CDKN2A;XPO1;USP1;TBRG4;STMN1;SRSF2;SLBP;RFC2;RAN;RAD50;PRKDC;PRIM2;POP7;POLE;PLK4;PCNA;PAN2;PA2G4;NAA38;MMS22L;MCM7;MCM2;MAD2L1"
"HALLMARK_MYC_TARGETS_V1",0.0699300699300699,0.321447782986245,0.166933848713193,0.432690654640784,1.07098039450102,92,"UBE2E1;POLE3;HSPD1;HSP90AB1;HNRNPR;H2AZ1;EIF4H;SRSF3;SNRPA1;SERBP1;RPS6;MCM4;EIF4E;DEK;YWHAQ;XPO1;USP1;TXNL4A;TUFM;TCP1;SSB;SRSF2;SRPK1;SRM;SNRPD1;SMARCC1;RRP9;RPS3;RPS2;RPLP0;RPL6;RPL22;RAN;RAD23B;PTGES3;PSMD3;PSMC4;PSMB3;PSMB2;PSMA4;PPM1G;PPIA;PHB2;PCNA;PABPC4;PA2G4;ODC1;NOP16;NDUFAB1;NCBP2;NCBP1;MRPL9;MCM7;MCM2;MAD2L1;HNRNPA3;HDGF;HDAC2;G3BP1;EXOSC7;ETF1;EPRS1;EIF3J;CTPS1;COX5A;CNBP;CCT7;CCT4;CANX;C1QBP"
"HALLMARK_KRAS_SIGNALING_DN",0.128871128871129,0.407904595404595,0.118815039412263,0.484982270130816,1.11281535526347,28,"PTPRJ;SLC25A23;COQ8A;SNN;BTG2;SKIL;KMT2D;EFHD1;CELSR2;TFCP2L1;TCL1A;SLC29A3;SHOX2;PDK2;MTHFR;LFNG;GPR19"
"HALLMARK_GLYCOLYSIS",0.138861138861139,0.407904595404595,0.11378726182188,0.438291762180279,1.06200860752632,58,"PKM;CXCR4;SAP30;KIF2A;POLR3K;NDUFV3;MXI1;HAX1;FUT8;ENO1;ANG;SLC16A3"
"HALLMARK_G2M_CHECKPOINT",0.131868131868132,0.407904595404595,0.117249716749792,0.421276485489782,1.04342369222787,93,"HMGA1;SMC1A;TLE3;SAP30;AMD1;RPS6KA5;MEIS2;EZH2;H2AZ1;FOXN3;CDC25A;TGFB1;TENT4A;STAG1;SMC4;SLC7A1;SLC12A2;PLK1;MYBL2;MNAT1;KIF2C;ESPL1;E2F3;E2F2;BCL3;XPO1;STMN1;SS18;SRSF2;SNRPD1;SMARCC1;SLC38A1;SFPQ;RBM14;RAD23B;PRIM2;POLE;PLK4;PAFAH1B1;ORC5;ODF2;ODC1;NUSAP1;NUP98;NUMA1;MTF2;MCM2;MAD2L1;LIG3;KIF15;JPT1;HIF1A;H2AZ2;H2AX;GINS2;G3BP1;FBXO5;FANCC;EXO1"
"HALLMARK_MYOGENESIS",0.171828171828172,0.475054357407299,0.10027910675413,0.45903939266592,1.0738897258242,35,"RB1;MYO1C;MEF2D;MEF2A;TGFB1;SPTAN1;MYH9;LSP1;ITGB1;TSC2;SYNGR2;SORBS1;SH2B1;SCD;PFKM;HBEGF;GSN;GAA;FHL1;FGF2;ENO3"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.21978021978022,0.573870573870574,0.0860347242455604,0.431283810299878,1.0396996004505,54,"MYB;BCL2;FOXC1;AMFR;XRCC3;SLC1A4;DUSP2;CHPT1;TOB1;RABEP1;CELSR2;XBP1;UGDH;TST;SLC29A1;PLK4;PAPSS2;MAPK13;LLGL2;IL6ST;HSPA4L;GINS2;GALE;FKBP4;DHCR7;COX6C"
"HALLMARK_ANDROGEN_RESPONSE",0.234765234765235,0.580735054419265,0.0824344091527096,0.439409778679004,1.04077346204691,41,"TNFAIP8;UBE2J1;ARID5B;PIAS1;SLC38A2;IQGAP2;GPD1L;UAP1;TPD52;SRF;SCD;RPS6KA3;PA2G4;IDI1;GNAI3;ELL2;DNAJB9;DHCR24;DBI;CENPN;CDK6;CDC14B;CCND3"
